English,Spanish
conductor,conductor
conduit,conducto
condylar,condíleo
condyle,cóndilo
condyloma,condiloma
cone,cono
cone,"cono, estróbilo"
cone,"cono, cucurucho, barquillo"
cone of power,cono de poder
confection,"confección, hechura"
confectionary,"confites, confitería"
confectioner,"pastelero, pastelera, confitero, dulcero"
confectioner's cream,crema pastelera
confectionery,dulces
confectionery,confitería
confederacy,confederación
Confederate States of America,Estados Confederados de América
confederation,confederación
confederationism,confederacionismo
confer,conferir
confer,"debatir, consultar, conferir"
conference,conferencia
confess,confesar
confession,confesión
confessional,confesionario
confessionality,confesionalidad
confessor,confesante
confetti,confeti
confidant,confidente
confide,confiar
confidence,"certeza, certeza propia"
confidence,certidumbre
confidence,confidencia
confidence interval,intervalo de confianza
confident,"confiado, seguro de sí mismo"
confidential,confidencial
confidentiality,confidencialidad
confidentially,confidencialmente
confidently,confidentemente
configurable,configurable
configuration,configuración
configure,configurar
confine,"confinar, encorsetar"
confine,"confín, raya"
confined space,espacio confinado
confinement,confinamiento
confirm,confirmar
confirmation,confirmación
confirmed,empedernido
confirmed bachelor,solterón
confiscate,"decomisar, confiscar"
confiscation,"confiscación, comiso, decomiso"
confiture,mermelada
conflagration,conflagración
conflate,"amalgamar, unir"
conflate,confundir
conflict,conflicto
conflict,discrepancia
conflict,"discrepar, estar reñido"
conflict,coincidir
conflict of interest,conflicto de intereses
confluence,confluencia
confocal,confocal
conformable,conforme
conformism,conformismo
conformist,conformista
conformity,conformidad
confound,confundir
confound,empeorar
confront,enfrentar
confrontation,"confrontación, enfrentamiento, careo [(law)]"
confrontational,"frentista, beligerante"
confronting,desolador
Confucian,"confuciano, confucionista"
Confucianism,confucianismo
Confucius,Confucio
confuse,confundir
confuse,confundirse
confuse,mezclar
confused,confundido
confused,confuso
confusedly,confusamente
confusing,confuso
confusion,confusión
conga,"conga, tambó, tumbadora"
conga,conga
con game,"estafa, engañifa, engañabobos"
congeal,congelar
congeal,coagular
congeal,congelar [pronominal]
congee,arroz caldo
congener,congénere
congenital,congénito
congenital insensitivity to pain,insensibilidad congénita al dolor
conger,congrio
conger eel,congrio
congestion,congestión
congestion,"congestión, atasco"
conglomeration,conglomeración
Congo,Congo
Congo,República Democrática del Congo
Congolese,congoleño congoleña
Congolese,congoleño
congratulate,felicitar
congratulation,felicitación
congratulations,"felicidades, enhorabuena"
congregant,congregante
congregate,congregar
congregate,congregarse
congregation,congregación
congress,congreso
congressman,congresista
congresswoman,congresista
congruence,congruencia
congruent,congruente
Coniacian,Coniaciense
conical,cónico
conic section,"sección cónica, cónica"
conifer,conífera
coniform,coniforme
conjecture,"conjetura, suposición, especulación, teoría"
conjecture,"conjetura, suposición, especulación, teoría, hipótesis"
conjecture,"conjeturar, barruntar, especular"
conjointly,"mancomunadamente, conjuntamente, juntamente"
conjugally,maridablemente
conjugate,conjugar
conjugation,conjugación
conjugator,conjugador
conjunction,"conjunción, unión"
conjunction,conjunción
conjunctiva,conjuntiva
conjunctive,conjuntivo
conjunctively,conjuntivamente
conjunctivitis,conjuntivitis
conjunctivity,conjuntividad
connect,conectar
connected,conexo
Connecticut,Connecticut
connecting rod,biela
connection,"vinculación, conexión, trabazón, ligazón, ilación"
connection,conexión
connection,confianza
connection,llamada
connection,correspondencia
connections,enchufe
connective tissue,tejido conjuntivo
connectivity,conectividad
connectome,conectoma
conning tower,torre de mando
connive,"confabular, conspirar"
connive,"hacerse el leso [Chile, colloquial]"
conniving,"connivente, maniobrero, maquinador"
connoisseur,connaisseur ; connoisseur
connotation,connotación
connotative,connotativo
connote,connotar
conoid,conoide
conoidal,conoideo
conquer,"conquistar, debelar"
conqueror,conquistador
conquest,conquista
Conrad,Conrado
conrod,biela
consanguineous,"carnal, consanguíneo"
consanguinity,consanguinidad
conscience,conciencia
conscientious,concienzudo
conscientiousness,conciencia
conscientious objector,objetor de conciencia
conscious,consciente
consciously,conscientemente
consciousness,conciencia
conscript,"conscripto, recluta, colimba, quinto"
conscript,"reclutado, enrolado, alistado"
conscript,"reclutar, enrolar, alistar"
conscription,reclutamiento
consecrate,consagrar
consecration,consagración
consecution,consecución
consecutive,consecutivo
consecutive interpretation,interpretación consecutiva
consecutively,consecutivamente
consensual,consensual
consensus,consenso
consent,consentir
consent,"consentimiento, venia"
consent decree,decreto por consentimiento
consequence,consecuencia
consequent,consecuente
consequential,consiguiente
consequently,consecuentemente
conservation,conservación
conservationist,conservacionista
conservatism,"conservadurismo, conservatismo"
conservative,conservador
Conservative Judaism,judaísmo conservador
conservator,apoderado
conservatory,conservatorio
conserve,parque nacional
conserve,"reservar, conservar"
conserve,conservar
consider,considerar
consider,"considerar, barajar, sopesar"
consider,observar
considerable,considerable
considerably,considerablemente
considerate,considerado
considerately,consideradamente
consideration,consideración
considering,en consideración de
consign,consignar
consignee,destinatario
consigner,expedidor
consignment,consigna
consilience,consiliencia
consist,consistir
consist,formación
consistency,consistencia
consistent,"consistente, constante"
consistent,coherente
consistently,consistentemente
consociationalism,"consociativismo, consociacionalismo"
consolation,"consolación, consuelo"
consolation,"premio de consolación, premio de consuelo"
consolation goal,"gol de honor, gol testimonial"
consolation prize,premio de consuelo
console,consola
console,consolar
consolidate,consolidar
consolidation,consolidación
consommé,consomé
consonant,consonante
consort,consorte
consort,consorcio [business]
consortium,consorcio
conspicuous,"conspícuo, llamativo, ilustre, notorio, ostentoso"
conspicuous,"conspícuo, llamativo"
conspicuously,"notablemente, obviamente"
conspiracy,"conspiración, contubernio"
conspiracy theorist,"conspiracionista, conspirólogo, conspiranoico [informal, pejorative]"
conspiracy theory,"teoría conspirativa, teoría de la conspiración"
conspirator,"conspirador, conspiradora"
conspiratorial,"conspirativo, conspirativa"
constabulary,"policía, fuerza pública"
constancy,constancia
constant,constante
constant,firme
Constantine,Constantino
Constantine,Constantina
Constantinople,Constantinopla
Constantinopolitan,constantinopolitano
constantly,constantemente
constellation,constelación
consternation,"consternación, abatimiento, postración"
constipate,estreñir
constipated,estreñido
constipation,estreñimiento
constituency,circunscripción
constituent,constituyente
constitute,constituir
constitution,constitución
constitution,"constitución, constituciones"
constitutional,constitucional
constitutional court,tribunal constitucional
constitutionalism,constitucionalismo
constitutionalist,constitucionalista
constitutionality,constitucionalidad
constitutional law,derecho constitucional
constitutional monarchy,monarquía constitucional
constitutive,constitutivo
constrain,"constreñir, limitar, restringir, obligar"
constraint,"constreñimiento, limitación, restricción"
constraint,restricción
constriction,constricción
construct,constructo
construct,construcción
construct,construir
constructed language,lengua construida
constructible,construible
construction,construcción
construction site,obra
construction worker,"obrero de construcción, maestro [colloquial, Latin America]"
constructive,constructivo
constructivism,constructivismo
construct state,estado constructo
consubstantial,consustancial
consul,cónsul
consular,consular
consulate,consulado
consulate general,consulado general
consult,consultar
consultant,consultor
consultation,consulta
consultative,consultivo
consumable,consumible
consumable,comestible
consume,consumir
consumer,consumidor
consumer good,bien de consumo
consumerism,consumismo
consumerist,consumista
consumer price index,índice de precios al consumo
consummate,consumado
consummate,consumar
consumption,consumo
consumptive,tísico
Conté,lápiz conté
contact,contacto
contact,"contactar, entrar en contacto con"
contact lens,"lentilla, lente de contacto, pupilente"
contact trace,"rastrear contactos, rastrear los contactos"
contact tracing,rastreo de contactos
contagion,contagio
contagious,"contagioso, infeccioso, contagiante"
contagious,contagioso
contagiousness,contagiosidad
contain,contener
contain,"contener, dominar"
container,recipiente
container,contenedor
container-deposit,empeño
containment,contenimiento
containment,contención
contaminant,contaminante
contamination,contaminación
contemn,"despreciar, menospreciar"
contemplate,contemplar
contemplation,contemplación
contemporaneity,contemporaneidad
contemporaneous,contemporáneo
contemporary,"contemporario, contemporáneo"
contemporary,"contemporáneo, contemporario"
contempt,"desprecio, desdén"
contempt,"desgracia, deshonra, vergüenza"
contempt,desacato
contemptible,"despreciable, menospreciable, desdeñable, rastrero, bajo"
contempt of court,"desacato al tribunal, contumacia"
contend,contender
contend,sostener
contender,"contendiente, rival, contendedor"
content,contento
content,contentar
content,contenido
content,"materia, contenido"
contention,contienda
contentious,controvertido
contentious,"conflictivo, pendenciero, camorrista, belicoso, provocador"
contentment,satisfacción
contents,contenido
contest,debate
contest,"concurso, competencia, competición"
contest,competir
contest,"cuestionar, impugnar, oponerse"
contestant,concursante
context,"contexto, marco"
context,contexto
contextual,contextual
contextualize,contextualizar
contiguity,contigüidad
contiguous,contiguo
contiguous,"vecino, cercano, contiguo, adyacente"
contiguous,"adosado, colindante"
continent,continente
continental,continental
continental divide,divisoria continental
continental drift,deriva continental
continental shelf,plataforma continental
contingency,"contingencia, eventualidad"
contingency,"contingencia, eventualidad, imprevisto"
contingent,contingente
continually,"continuadamente, continuamente"
continuation,continuación
continue,"continuar, seguir"
continue,continuar
continued,continuo
continuity,continuidad
continuous,continuo
continuous function,función continua
continuously,"continuadamente, continuamente, de continuo"
contort,contorsionar
contortion,contorsión
contortionist,contorsionista
contour,contorno
contour line,"isolínea, curva de nivel"
contour map,plano acotado
contraband,contrabando
contrabass,contrabajo
contrabassoon,contrafagot
contraception,anticoncepción
contraceptive,"anticonceptivo, contraceptivo"
contract,contrato
contract,contraer
contract,contratar
contracting,contratación
contraction,contracción
contractor,"constructor, contratista"
contractual,contractual
contracture,contractura
contradict,contradecir
contradict,contrariar
contradiction,"contradicción, contrasentido"
contradiction in terms,contradicción en los términos
contradictorily,contradictoriamente
contradictory,contradictorio
contrail,estela
contraindicate,contraindicar
contraindication,contraindicación
contranym,autoantónimo
contraption,artilugio
contraption,armatoste
contrarian,contrario
contrarily,contrariamente
contrary,contrario
contrast,contraste
contrast,contrastar
contrasting,contrastante
contravene,contravenir
contretemps,contratiempo
contribute,contribuir
contribution,"contribución, aporte, cotización"
contribution,contribución
contributor,donante
contributor,"colaborador, contribuyente"
contributor,colaborador
contributor,"colaborador, articulista"
contrite,"contrito, arrepentido"
contrivance,aparato
contrivance,"artificio, artimaña, estratagema"
contrivance,"artefacto, artilugio"
contrive,idear
contrive,improvisar
contrived,intencionalmente
contrived,"forzado, artificial"
control,controlar
control,"administración, control, dirección, manejo, organización"
control,"patrón de comparación, de control"
control,"control, mando"
control,contramedida
control,"control, autodominio"
control arm,brazo oscilante transversal
control city,ciudad control
control engineering,ingeniería de control
controllable,controlable
controlled,controlado
controller,mando
controller,controlador
control tower,torre de control
controversial,"polémico, controvertido, controversial [Latin America, anglicism]"
controversy,"controversia, polémica"
contumacious,insubordinado
contumacious,contumaz
contumacy,contumacia
contumelious,"contencioso, despreciativo, desdeñoso"
contumely,"injuria, ofensa, contumelia"
contusion,contusión
contusive,contusivo
conundrum,"adivinanza, acertijo"
conundrum,"interrogante dilema, enigma"
conurbation,conurbación
conure,periquito
convalesce,convalecer
convection,convección
convene,convenir
convene,convocar
convenience,conveniencia
convenience,"comodidad, conveniencia"
convenience store,pulpería [Central America]
convenient,"conveniente, cómodo"
conveniently,convenientemente
convent,convento
conventicle,conventículo
convention,convención
convention,convenio
convention,"costumbre, convención"
convention,"tratado, convención"
conventional,convencional
conventionalism,convencionalismo
conventionally,convencionalmente
conventional wisdom,sabiduría popular
converge,"converger, parecerse"
converge,"converger, acotar"
convergence,convergencia
convergent,convergente
conversant,versado
conversation,conversación
conversationalist,"conversador, conversadora"
converse,"conversar, tertuliar"
converse,"revés, contrario, conversión"
converse,"recíproca, inversa, sentido inverso"
conversion,conversión
convert,convertir
convert,[reflexive] convertir
convert,converso
convertible,convertible
convertible,"convertible [Latin America], descapotable [Spain], cabriolé"
convertible mark,marco convertible
convex,convexo
convexity,convexidad
convey,"transportar, trasladar"
convey,"comunicar, expresar"
convey,"transferir, ceder"
conveyor belt,cinta transportadora
convict,condenar
conviction,convicción
convince,convencer
convincing,convincente
convivence,convivencia
convoke,convocar
convoluted,convoluto
convoluted,"convoluto, alambicado, complicado, enredado, enrevesado"
convoy,caravana
convulse,"convulsionar, crispar"
convulsion,convulsión
convulsive,"convulsivo, convulso"
convulsively,convulsivamente
coo,arrullo
coo,arrullar
co-official,cooficial
cook,"cocinero, cocinera"
cook,cocinar
cook,"cocinar, cocer"
cook,cocerse
cookbook,"libro de recetas, recetario, recetario"
cooked,"cocinado, cocido"
cooker,"cocina, estufa, olla, cocinador"
cookie,galleta
Cookie Monster,Monstruo de las Galletas
cooking,cocción
cooking,cocina
cooking oil,aceite de cocina
cooking show,"show cooking, cooking show"
cooking utensil,utensilio de cocina
Cook Islander,de las Islas Cook
Cook Islands,Islas Cook
Cook Islands Maori,"maorí de Islas Cook, rarotongano"
cool,fresco
cool,frío
cool,"tranquilo, sereno"
cool,apacible
cool,"estupendo, genial"
cool,"genial, guay [Spain], bacán, chévere [Slang-Latin America]"
cool,guay
cool,"bacán [Chile, Ecuador, Peru], bacano [Colombia], bárbaro [Argentina, Uruguay], bravazo [Peru], cachilupi [Chile], chévere [Caribbean Islands, Colombia, Ecuador, Panama, Peru, Venezuela], chido [Mexico], chilero [Guatemala], chilo [Northwestern Mexico], chiva [Costa Rica], chivo [El Salvador], choro [Chile], dabuten [Spain], fetén [Spain], fino [Venezuela], guay [Spain], lindo [Argentina], machete [Venezuela], mostro [Peru], nota [Venezuela], padre [Mexico], pavo [Venezuela], pura vida [Costa Rica], suave [Mexico], tuanis [Costa Rica], piola"
coolant,refrigerante
cool as a cucumber,estar más fresco que una lechuga
cool down,enfriarse
cooler,hielera
coolie,culi
cooling,enfriamiento
cooling,refrigerante
coolness,frescura
coon eyes,"ojera, ojeras"
coonhound,perro para la caza del mapache
coop,gallinero
cooper,tonelero
cooperate,cooperar
cooperation,cooperación
cooperative,cooperativo
cooperative,cooperativa
Cooper's hawk,"azor de Cooper, gavilán de Cooper"
co-opt,cooptar
coordinate,coordenada
coordinate,coordinar
Coordinated Universal Time,Tiempo Universal Coordinado
coordinate system,sistema de coordenadas
coordinating conjunction,conjunción coordinante
coordination,coordinación
coordinator,"coordinador, coordinadora"
coordinator,"conjunción coordinante, nexo coordinante"
coot,focha común
cootie catcher,"comecocos, sacapiojos, adivinador, pío pío"
co-owner,"copropietario, copropietaria"
cop,"tombo, paco, madero"
copacetic,"requetebueno, estupendo, genial"
cop a feel,meter mano [Spain]
copal,copal
co-parent-in-law,consuegro
COPD,EPOC
cope,"afrontar, bregar, lidiar"
Copenhagen,Copenhague
copernicium,copernicio
Copernicus,Copérnico
cophosis,cofosis
copilot,copiloto
coping,afrontamiento
copious,copioso
cop-killer,matapolicías
coplanar,coplanario
copper,cobre
copper,cobrizo
copper,"paco [colloquial, derogatory, Chile]"
copperleaf,acalifa
coppersmith,calderero
coppice,bosquecillo
copra,copra
coproduce,coproducir
coproduction,coproducción
coprolalia,coprolalia
coprolite,coprolito
coprophilia,coprofilia
copse,"bosquecillo, soto, matorral"
Copt,"copto, copta"
Coptic,"copto, cóptico"
Coptic,copto
Coptic Church,iglesia copta
copula,cópula
copulate,copular
copulation,"coito, copulación"
copy,copia
copy,ejemplar
copy,copiar
copy,"imitar, copiar"
copy,recibir
copy and paste,"copipegar, fusilar"
copycat,"copión, copiona"
copy editor,corrector
copyist,"copista, amanuense"
copypasta,[texto] pegar
copyright,derechos de autor
copywrite,escribir texto publicitario
copywriter,redactor
coquetry,coquetería
coquettish,coqueto
coquina,almeja frijol
coquina,coquina
coraco,coraco-
coracoacromial,coracoacromial
coracobrachialis,coracobraquial
coracoclavicular,coracoclavicular
coracohumeral,coracohumeral
coral,coral
coralline,coralino
coral reef,arrecife de coral
Coral Sea,mar del Coral
coral snake,"coralillo, víbora de coral"
coral vine,coral
cor anglais,corno inglés
cord,"cuerda, cable, hilo, cordón"
cord,cable
cordectomy,cordectomía
cordial,cordial
cordially,cordialmente
cordless,"sin cables, inalámbrico"
cordon sanitaire,cordón sanitario
cordotomy,cordotomía
Cordovan,cordobés
Cordovan hat,sombrero cordobés
corduroy,pana
core,corazón
core,esencia
core,núcleo
core,"alma, esencia, núcleo"
core,descorazonar
co-responsibility,corresponsabilidad
co-responsible,corresponsable
Corfu,Corfú
coriander,"cilantro, coriandro"
Corinth,Corinto
Corinthian,corintio
Corinthians,Corintios
cork,corcho
Cork,Cork
corkage,descorche
cork oak,"alcornoque, sobrero [Salamanca]"
corkscrew,sacacorchos
corkscrew,espiral
corm,cormo
cormorant,cormorán
corn,maizal
corn,"cereal, grano"
corn,callo
corncob,"olote [Méx.], coronta [Chile], marlo, tusa, zuro"
corncrake,"guión de codornices, rey de codornices"
corn dog,"salchicha empanizada, banderilla, perrito de maíz, perrito empanado"
cornea,córnea
corneal,corneal
corned beef,carne en conserva
cornel,"cornejo, corno"
cornel,corno
Cornelia,Cornelia
Cornelius,Cornelio
corner,"ángulo, rincón (corner between walls), esquina"
corner,esquina
corner,acorralar
corner,"girar, virar"
corner,maniobrar
corner flag,banderín de córner
corner kick,"tiro de esquina, saque de esquina, córner"
cornerstone,piedra angular
cornerstone,"piedra angular, primera piedra"
cornerstone,fundamento
corner time,rincón de pensar
cornet,corneta
cornet,"cartucho, cucurucho"
cornet,"cono, cucurucho"
cornett,"cornetto, corneta renacentista, corneta negra, corneta curva"
cornfield,"milpa, maizal"
corn flakes,copos de maíz
cornflour,"maicena, harina de maíz, fécula, almidón"
cornflower,"azulejo, aciano"
cornice,cornisa
corniche,cornisa
Cornish,córnico
cornmeal,harina de maíz
corn poppy,"amapola, ababol"
cornrow,trenza africana
corn salad,canónigo
corn smut,"huitlacoche, cuitlacoche"
corn snake,serpiente del maíz
cornstarch,"maicena, harina de maíz, fécula, almidón, maizena"
corn syrup,jarabe de maíz
cornucopia,"cornucopia, cuerno de la abundancia"
Cornwall,Cornualles
corny,insipido
corny,cursi
corolla,corola
corollary,corolario
corona,corona
coronal,coronal
coronal mass ejection,eyección de masa coronal
coronary,coronario
coronation,coronación
coronavirus,coronavirus
coroner,forense
coronoid process,apófisis coronoides
corpectomy,corpectomía
corporal,cabo
corporal,corporal
corporate,corporativo
corporate,incorporado
corporation,sociedad anónima
corps,cuerpo
corpse,cadáver
corpulence,obesidad
corpulent,obeso
corpus,corpus
corpus callosum,cuerpo calloso
corpus cavernosum,cuerpo cavernoso
corpuscle,corpúsculo
corpus delicti,cuerpo del delito
corpus juris,cuerpo de leyes
corpus luteum,cuerpo lúteo
corpus striatum,cuerpo estriado
corral,corral
corral,acorralar
correct,correcto
correct,corregir
correctable,corregible
correcting fluid,corrector líquido
correction,corrección
correction tape,"cinta correctora, típex"
corrective,correctivo
corrective rape,"violación correctiva, violación curativa"
correctly,correctamente
correctness,corrección
correlate,correlacionar
correlation,correlación
correlative,correlativo
correlative,correlato
correspond,"corresponder, equivaler"
correspond,"escribir con, corresponderse, cartearse"
correspondence,"correspondencia, carteo"
correspondence,noticias
correspondence,correspondencia
correspondent,corresponsal
corresponding,correspondiente
corridor,"pasillo, corredor"
Corrientes,Corrientes
corrigendum,"errata, gazapo, yerro"
corroborate,corroborar
corroboration,corroboración
corrode,corroer
corrode,"corroer, corroerse"
corrosion,corrosión
corrosive,corrosivo
corrugate,corrugar
corrugated,"corrugado, corrugada"
corrugator supercilii,"superciliar, músculo superciliar"
corrupt,corrupto
corrupt,corromper
corruption,corrupto
corruption,"corrupción, corruptela"
corruption,corrupción
corruptly,"corruptamente, corrompidamente"
corsac fox,zorro Corsac
corset,corsé
Corsica,Córcega
Corsican,corso
Corsican,"corso, corsa"
cortical,cortical
corticoid,corticoide
corticosteroid,corticosteroide
corticotropic,corticotropo
cortisol,cortisol
cortisone,cortisona
corundum,corindón
coruro,cururo
corvee,corvea
corvee,angaria
corvette,corbeta
corvine,corvino
Corvus,Corvus
cosecant,cosecante
Cosenza,Cosenza
co-sibling-in-law,concuñado
cosign,firmar conjuntamente
cosine,coseno
co-sister-in-law,concuñada
Cosmas,Cosme
cosmetic,"cosmético, superficial"
cosmetic,"cosmético, afeite"
cosmetics,"cosmético, cosméticos"
cosmetics,cosmética
cosmetic surgery,cirugía estética
cosmetologist,"cosmetólogo, cosmetóloga"
cosmic,cósmico
cosmic dust,polvo cósmico
cosmic ray,rayo cósmico
cosmo,cosmo-
cosmochemistry,cosmoquímica
cosmodrome,cosmódromo
cosmogony,cosmogonía
cosmography,cosmografía
cosmological,cosmológico
cosmologist,cosmólogo
cosmology,cosmología
cosmonaut,cosmonauta
cosmopolite,cosmopolita [adjective]
cosmos,cosmos
cosmozoic,cosmozoico
cosplay,cosplay
Cossack,cosaco
cost,costar
cost,"costa, gasto, costo"
cost,costo
Costa,Costa
costal,costal
Costa Rica,Costa Rica
Costa Rican,"costarricense, costarriqueño"
Costa Rican,"costarricense, costarriqueño, tico [colloquial]"
costly,"costoso, caro"
costo,costo-
costocervical,costocervical
cost of living,costo de vida
costume,traje
costume,disfraz
costume jewellery,bisutería
cosy,"acogedor, hogareño"
cosy,cubierta tejida
cot,"camilla, catre"
cot,"cuna, pesebre"
cot,"catre, cama plegable"
cotangent,cotangente
cotemporally,"simultáneamente, coetáneamente, contemporáneamente"
Cotonou,Cotonú
cottage,chalet
cottage cheese,"cottage, requesón"
cotton,algodón
cotton,de algodón
cotton,llevarse bien
cotton swab,"bastoncillo, bastoncillo de algodón, hisopo, hisopo de algodón, cotonete"
cottonwood,álamo
cotyledon,cotiledón
cotyledonous,cotiledóneo
couch,"sofá, sillón"
couch grass,grama
cougar,"puma, león de montaña, león americano, león bayo, mitzli, onza bermeja"
cougar,loba
cough,toser
cough,tos
cough up,expectorar
"could I see the menu, please","¿podría traerme el menú, por favor?, el menú, por favor"
couldn't care less,"traer sin cuidado, traer al fresco, traer al pairo, pasar olímpicamente [colloquial]"
coulomb,"culombio, coulomb"
Coulomb's law,ley de Coulomb
coulometry,coulometría
coumarin,cumarina
council,concejo
councilman,"concejal, munícipe"
councilmember,concejal
Council of Europe,Consejo de Europa
counsel,consulta
counsel,consejo
counsel,abogado
count,contar
count,importar
count,cuenta
count,"conteo, número"
count,"punto, cargo"
count,conde
countable,contable
countable,numerable
countable set,conjunto numerable
count angels on pinheads,discutir sobre el sexo de los ángeles
countdown,"cuenta atrás [Spain], cuenta regresiva [Latin America]"
countenance,"semblante, apariencia, expresión, rostro"
countenance,apoyo
countenance,"semblante, expresión"
countenance,"admitir, permitir, tolerar; aprobar, sancionar; apoyar, favorecer, patrocinar"
counter,contra-
counter,contador
counter,"mostrador, taquilla (ticket window)"
counter,encimera
counter,en contra
counter,contradecir
counter,contraatacar
counterargument,contraargumento
counter-attack,contraataque
counter-attack,contraatacar
counterbalance,"contrabalanza, contrapeso"
counterbalance,"contrabalanza, contraposición"
counterbalance,contrabalancear
counterclaim,reconvención
counterculture,contracultura
countercurrent,contracorriente
counterespionage,"contraespionaje, contrainteligencia"
counterexample,antiejemplo
counterfeit,contrahecho falsificado
counterfeit,contrahecho
counterfeit,contrahechura
counterfeit,"falsificar, contrahacer"
counterintuitive,contraintuitivo
countermand,contraorden
countermarch,contramarchar
countermeasure,contramedida
counter-offensive,contraofensiva
counteroffer,contraoferta
counterpart,"homólogo, homóloga"
counterpower,contrapoder
counterproductive,contraproducente
counterproposal,contrapropuesta
counterrevolution,contrarrevolución
counterrevolutionary,"antirrevolucionario, contrarrevolucionario"
counterrevolutionary,contrarevolucionario
countersink,avellanado
countersink,avellanar
counterstereotype,contraestereotipo
countersurveillance,contravigilancia
countertenor,contratenor
countertop,encimera
counterweight,contrapeso
countess,condesa
countless,innombrable
count noun,"sustantivo contable, nombre contable"
count on,contar (con)
country,país
country,campo
country,ranchera
country,"de campo, campesino, campestre, de provincia, provinciano"
country bumpkin,"cateto, paleto, palurdo, [Chile] huaso, [Chile] huaso"
country club,club de campo
country code,código del país
countryman,"paisano, paisana, compatriota"
countryman,"campesino, campesina"
countryside,campo
county,condado
coup de grâce,"golpe de gracia, tiro de gracia, puntilla"
coup d'état,golpe de estado
coupist,golpista
couple,pareja
couple,par
couple,"un par de, unos"
couple,par de fuerzas
couple,acoplar
coupling,"enganche, acoplamiento [technical], entronque"
coupling,"acoplador, juntura"
coupling,acoplamiento
courage,"coraje, valor, valentía"
courage,"valor, valentía"
courageous,valiente
courageously,valientemente
courgette,"calabacín, [Mexico] calabacita, [Argentina, Uruguay] zapallito, [Chile] zapallo italiano, [Peru] zapallito italiano, zucchini [Dominican Republic, Panama, Puerto Rico]"
courier,"mensajero, estafeta [Latin America]"
Courland,Curlandia
course,curso
course,plato
course,ruta
course,trayectoria
course,"rumbo, derrotero"
course,correr
course,perseguir
course of action,"procedimiento, plan de acción, medidas"
courser,corredor
court,"patio, callejón"
court,corte
court,"corte, tribunal, juzgado"
court,cancha
court,"cortejar, [Chile, informal] pololear, galantear, rondar"
courteous,"cordial, cortés"
courteously,cortésmente
courtesan,cortesana
courtesy,cortesía
courtesy,de cortesía
courthouse,palacio de justicia
courtier,cortesano
court jester,bufón
courtly love,amor cortés
court of cassation,corte de casación
court of law,tribunal de justicia
court order,orden judicial
courtroom,sala de un tribunal
courtship,cortejo
courtyard,patio
couscous,cuscús
cousin,"primo, prima"
cousin-in-law,primo político
cousin-in-law,prima política
cousin-in-law,"primo político, prima política"
couverture,cobertura de chocolate
covalent,covalente
covalent bond,enlace covalente
covariance,"covariación, covarianza"
cove,ensenada
coven,aquelarre
coven,gremio
covenant,"convenio, contrato, alianza, pacto"
covenant,cláusula
covenstead,"santuario de brujas, templo de aquelarre, santuario, escondite"
cover,"tapa, cubierta"
cover,"escondrijo, guarida"
cover,"tapa, cubierta, portada"
cover,"sábana, cobertor, colcha"
cover,cubierto
cover,cubierta
cover,"esconder, ocultar, abrigar, cubrir"
cover,mencionar
cover,cubrir
cover,versionar
cover,"proteger, apuntar"
coverage,cobertura
coverall,"braga [Venezuela], mono [Spain], overol [Argentina, Colombia]"
covered,cubierto
coverlet,cobertor
cover letter,carta de presentación
coversed sine,coseno verso
coverslip,cubreobjetos
cover someone's ass,"cubrirse las espaldas, cuidarse el pellejo"
cover story,primera plana
cover story,tapadera
covert,encubierto
cover up,"encubrir, cohonestar"
cover version,versión
covet,"desear, codiciar"
covet,"codiciar, envidiar"
covetousness,codicia
covey,averío
COVID-19,covid-19
covidiot,covidiota
cow,intimidar
cow,vaca
cow,bovino
cow,bruja
coward,"cobarde, gallina"
cowardice,cobardía
cowardly,cobarde
cowardly,cobardemente
cowbell,cencerro
cowbird,tordo
cowboy,"vaquero, gaucho, huaso, llanero"
cowed,intimidado
cower,"encogerse, amilanarse"
cowgirl,vaquera
cowherd,vaquero
cowhide,cuero vacuno
co-wife,coesposa
cowl,capucha
cowlick,"remolino, mechón"
coworker,"colega, compañero (de trabajo), compañera (de trabajo)"
cow parsley,esperifollo verde
cowpat,"boñiga, bosta"
Cowper's fluid,"fluido de Cowper, líquido preseminal, líquido preeyaculatorio"
cowpie,estiércol de vaca
cowrie,cauri
cowshed,vaqueriza
cowslip,"aurícula, bellorita, clavelina"
cowslip,"calta palustre, caléndula acuática, verruguera"
cow's milk,leche de vaca
coxa,coxa
Coxcatlán,Coxcatlán
coxcomb,cresta
coxcomb,lechuguino
coy,tímido
coy,recatado
coy,discreto
coyote,coyote
coypu,coipo
Cozoyoapan,Cozoyoapan
crab,"cangrejo, jaiba"
crab,"ladilla, maneto"
crabapple,manzano silvestre
crabapple,manzana silvestre
crabbery,cangrejal
crabby,malgeniado
crab-eating fox,zorro cangrejero
crab-eating macaque,macaco cangrejero
crab louse,ladilla
crabs,ladilla
crack,agrietarse
crack,cascar
crack,soltar gallos
crack,resquebrajar
crack,grieta
crack,rendija
crack,"broma, chiste"
crack,"crack, piedra"
crack,estallido
crack,raja
crack,"raja, raya"
crack,gallo
crack,chasquido
crackdown,represión
cracker,"galleta, galleta de agua"
cracking,agrietamiento
crackle,"crujido, chisporroteo"
crackle,crepitar
crack-pipe,"pipa, pipa de piedra, pipa de crack, pipa de cráck"
crackpot,"chiflado, tarambana"
